Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,5.413802631985054,0.008068260256311556,5.413802631985062,0.008068260256311568,5.413802631985062,0.008068260256311568,0.0,0.0,5.413802631985062,0.008068260256311568,0.007568394819047614,0.007568394819047614,4.0690294726062435e-05,0.00805698097938302,,857,186,671,0.27719821162444114,0
1,5.079979160698293,0.007912740125698274,5.077476533687801,0.007908841952784738,5.077476533687801,0.007908841952784738,0.0,0.0025026270104998305,5.077476533687801,0.007908841952784738,0.013712740753645591,0.011210113743145761,3.41771760461761e-05,0.007891380716424683,0.005065767808547783,970,328,642,0.5109034267912772,0
2,14.67776111938552,0.011204397801057649,14.67559931441831,0.011202747568258252,14.67559931441831,0.011202747568258252,0.0,0.0021618049672237905,14.67559931441831,0.011202747568258252,0.01223767717039842,0.01007587220317463,3.2502813558627836e-05,0.011195056062759634,0.06432481281499308,1620,310,1310,0.2366412213740458,0
3,0.8623998718585941,0.006073238534215451,0.8594462670222214,0.0060524385001564885,0.8594462670222214,0.0060524385001564885,0.0,0.0029536048363754674,0.8594462670222214,0.0060524385001564885,0.009739674677645305,0.006786069841269837,6.283398001175775e-05,0.006004649275922175,0.05051723713402273,250,108,142,0.7605633802816901,0
4,2.1459820340727207,0.007082448957335712,2.143669128928138,0.007074815607023558,2.143669128928138,0.007074815607023558,0.0,0.0023129051445995863,2.143669128928138,0.007074815607023558,0.011818335849361539,0.009505430704761952,4.301099866408123e-05,0.007043444548591945,0.2667185345616166,524,221,303,0.7293729372937293,0
5,0.7262451351262884,0.006426948098462729,0.7233817009223666,0.006401607972764307,0.7233817009223666,0.006401607972764307,0.0,0.0028634342039286498,0.7233817009223666,0.006401607972764307,0.010761292794404853,0.007897858590476203,5.300576235218928e-05,0.006331715418866226,0.2258346017597186,262,149,113,1.3185840707964602,0
6,6.649191373113178,0.00645552560496425,6.649191373113162,0.006455525604964235,6.649191373113162,0.006455525604964235,0.0,0.0,6.649191373113162,0.006455525604964235,0.05054097787243861,0.05054097787243861,3.110214022919299e-05,0.006406456694408484,0.07561088437301722,2655,1625,1030,1.5776699029126213,0
7,2.4150589630961923,0.007815724799664053,2.408952508606419,0.007795962811024009,2.408952508606419,0.007795962811024009,0.0,0.006106454489795077,2.408952508606419,0.007795962811024009,0.012611676737414035,0.006505222247618958,0.00017581681750321508,0.0077749103118407055,0.018190480921313146,346,37,309,0.11974110032362459,0
8,0.1825615853233371,0.007606732721805713,0.18056361863665224,0.00752348410986051,0.18056361863665224,0.00752348410986051,0.0,0.001997966686685837,0.18056361863665224,0.00752348410986051,0.008964308934304777,0.00696634224761894,9.811749644533717e-05,0.007233219849543014,0.10960923187929827,95,71,24,2.9583333333333335,0
10,0.3112280115072148,0.008645222541867078,0.30896757229206345,0.008582432563668429,0.30896757229206345,0.008582432563668429,0.0,0.0022604392151541752,0.30896757229206345,0.008582432563668429,0.04148712233434604,0.03922668311919186,3.5212462405019624e-05,0.007492802477024132,0.05539337463343652,1150,1114,36,30.944444444444443,0
11,0.894397339374668,0.007644421704056992,0.8864669392761894,0.0075766405066340975,0.8864669392761894,0.0075766405066340975,0.0,0.007930400098487889,0.8864669392761894,0.0075766405066340975,0.023014219914938128,0.015083819816450239,0.00017140704336875273,0.007447718969741281,0.01361489488333012,205,88,117,0.7521367521367521,0
12,0.6071701841360133,0.0062594864343918895,0.6013519106354962,0.006199504233355631,0.6013519106354962,0.006199504233355631,0.0,0.005818273500523663,0.6013519106354962,0.006199504233355631,0.018914326764593037,0.013096053264069374,3.340829914303412e-05,0.006064493374963096,0.00537888073606152,489,392,97,4.041237113402062,0
13,0.9420320935123643,0.0077215745369865925,0.9393827047757564,0.007699858235866855,0.9393827047757564,0.007699858235866855,0.0,0.002649388736616576,0.9393827047757564,0.007699858235866855,0.010147773650902359,0.007498384914285783,0.00019732591879699428,0.007638396064438212,0.04433833383273611,160,38,122,0.3114754098360656,0
14,3.9778634073146852,0.009208017146561772,3.9748962888416446,0.009201148816763066,3.9748962888416446,0.009201148816763066,0.0,0.0029671184730524214,3.9748962888416446,0.009201148816763066,0.010752932314322283,0.007785813841269862,8.19559351712617e-05,0.009183126099537876,0.20989840024451456,527,95,432,0.2199074074074074,0
15,61.75986496766145,0.01954426106571565,61.757331441395635,0.01954345931689735,61.757331441395635,0.01954345931689735,0.0,0.002533526265840358,61.757331441395635,0.01954345931689735,0.009727773427745223,0.007194247161904865,0.0003597123580952433,0.01954118265640307,0.15746585084848008,3180,20,3160,0.006329113924050633,0
16,14.010731261232488,0.012656487137518055,14.008133092512402,0.012654140101637219,14.008133092512402,0.012654140101637219,0.0,0.0025981687200951065,14.008133092512402,0.012654140101637219,0.01775756866699263,0.015159399946897523,3.074928995313899e-05,0.012640445973410566,0.04980528379336491,1600,493,1107,0.44534778681120146,0
17,0.7827037461994815,0.008507649415211755,0.7785131222976138,0.008462099155408846,0.7785131222976138,0.008462099155408846,0.0,0.004190623901875412,0.7785131222976138,0.008462099155408846,0.04642287420836855,0.042232250306493135,3.5729484184850365e-05,0.00800305295642514,0.032299425843434815,1274,1182,92,12.847826086956522,0
18,1.6971715026625733,0.008360450752032381,1.6919783823129748,0.008334868878389039,1.6919783823129748,0.008334868878389039,0.0,0.0051931203496042855,1.6919783823129748,0.008334868878389039,0.015353198521032674,0.010160078171428388,5.029741669023955e-05,0.008284819232224338,0.0819987701854612,405,202,203,0.9950738916256158,0
19,0.570179398701578,0.00619760215979976,0.5667875364571413,0.006160734091925449,0.5667875364571413,0.006160734091925449,0.0,0.0033918622444435442,0.5667875364571413,0.006160734091925449,0.013030736301586465,0.009638874057142921,4.525292984574141e-05,0.0060559637217390385,0.001303993710853213,305,213,92,2.3152173913043477,0
20,1.4386367230201884,0.008512643331480404,1.4358586244947948,0.008496204878667426,1.4358586244947948,0.008496204878667426,0.0,0.002778098525400008,1.4358586244947948,0.008496204878667426,0.018842221873518472,0.016064123348118464,3.49220072785184e-05,0.008401150894358994,0.15477965629364565,629,460,169,2.7218934911242605,0
21,1.0376896283412238,0.008436501043424584,1.0313787590814552,0.008385193163263863,1.0313787590814552,0.008385193163263863,0.0,0.0063108692597722005,1.0313787590814552,0.008385193163263863,0.014246332421676833,0.007935463161904632,0.0007935463161904633,0.008320677202597942,0.2395579881946972,133,10,123,0.08130081300813008,0
23,0.455185465390219,0.008276099370731255,0.45080704335238175,0.008196491697316031,0.45080704335238175,0.008196491697316031,0.0,0.004378422037837115,0.45080704335238175,0.008196491697316031,0.01251424339656726,0.008135821358730144,0.0004785777269841261,0.00804856767261185,0.11414803282839969,72,17,55,0.3090909090909091,0
24,0.9394166057449684,0.009888595849947036,0.9373604878595182,0.009866952503784401,0.9373604878595182,0.009866952503784401,0.0,0.0020561178854561213,0.9373604878595182,0.009866952503784401,0.014370227802916524,0.012314109917460403,4.848074770653702e-05,0.009737330294126862,0.1448145346097811,349,254,95,2.6736842105263157,0
25,2.298525189907954,0.011550377838733437,2.2964715169447474,0.011540057874094208,2.2964715169447474,0.011540057874094208,0.0,0.0020536729632061324,2.2964715169447474,0.011540057874094208,0.019004952831959798,0.016951279868753666,3.969854770199922e-05,0.01145487556319595,0.08207378597621684,626,427,199,2.1457286432160805,0
26,4.057969444923646,0.012186094429200139,4.0496499519343,0.012161110966769669,4.0496499519343,0.012161110966769669,0.0,0.008319492989365518,4.0496499519343,0.012161110966769669,0.01711855188460376,0.008799058895238243,0.000977673210582027,0.01213468736648361,0.019466530267991278,342,9,333,0.02702702702702703,0
27,3.474036578730869,0.012020887815677747,3.4688663336485868,0.012002997694285767,3.4688663336485868,0.012002997694285767,0.0,0.0051702450823030155,3.4688663336485868,0.012002997694285767,0.013987179279128625,0.00881693419682561,0.0005186431880485653,0.01197248927145931,0.020343736999126172,306,17,289,0.058823529411764705,0
28,2.2382179748983297,0.012230699316384316,2.232399417525055,0.01219890392090194,2.232399417525055,0.01219890392090194,0.0,0.005818557373279631,2.232399417525055,0.01219890392090194,0.016572319024072968,0.010753761650793336,0.0001311434347657724,0.01214014019603419,0.015892337661640887,265,82,183,0.44808743169398907,0
29,6.293475544611662,0.013447597317546287,6.2923100788471995,0.01344510700608376,6.2923100788471995,0.01344510700608376,0.0,0.001165465764469964,6.2923100788471995,0.01344510700608376,0.08726002689809231,0.08609456113362235,3.965663801640827e-05,0.013261144268618739,0.14189740629093794,2639,2171,468,4.638888888888889,0
30,7.236733659707787,0.013654214452278844,7.233029754598472,0.013647225952072588,7.233029754598472,0.013647225952072588,0.0,0.00370390510934282,7.233029754598472,0.013647225952072588,0.014644879331565441,0.010940974222222621,0.00016832268034188647,0.013626582604483437,0.07285407709724812,595,65,530,0.12264150943396226,0
31,5.487295857485802,0.013649989695238313,5.480770303315353,0.013633756973421276,5.480770303315353,0.013633756973421276,0.0,0.006525554170448089,5.480770303315353,0.013633756973421276,0.03981763022239626,0.03329207605194817,4.0949663040526655e-05,0.013550940863839317,0.14207355581165793,1215,813,402,2.0223880597014925,0
32,7.858379871330233,0.013958045952629188,7.8560660817996135,0.013953936202130751,7.8560660817996135,0.013953936202130751,0.0,0.0023137895306533096,7.8560660817996135,0.013953936202130751,0.013511372971922953,0.011197583441269643,0.00011912322809861322,0.01393404706635579,0.1536724848060338,657,94,563,0.1669626998223801,0
33,4.174721494212205,0.006934753312644859,4.173270931431916,0.006932343739920127,4.173270931431916,0.006932343739920127,0.0,0.0014505627801879584,4.173270931431916,0.006932343739920127,0.010024925497647885,0.008574362717459927,9.422376612593326e-05,0.006918100612482653,0.00025163754697388185,693,91,602,0.1511627906976744,0
34,0.13986602195862297,0.015540669106513662,0.13322222244422266,0.014802469160469185,0.13322222244422266,0.014802469160469185,0.0,0.006643799514399085,0.13322222244422266,0.014802469160469185,0.046806141730050044,0.04016234221565096,4.2771397460757145e-05,0.010339986692063659,0.09513493656979666,948,939,9,104.33333333333333,0
35,1.5449049311981762,0.013671725054851116,1.4902438452390314,0.013187998630433906,1.4902438452390314,0.013187998630433906,0.0,0.05466108595916097,1.4902438452390314,0.013187998630433906,0.09724223647957331,0.042581150520412336,9.337971605353583e-05,0.012811174289545159,0.020744527138673696,569,456,113,4.035398230088496,0
36,3.1868951174987536,0.01391657256549674,3.1749490290220055,0.013864406240270766,3.1749490290220055,0.013864406240270766,0.0,0.011946088476752159,3.1749490290220055,0.013864406240270766,0.02565038917516471,0.013704300698412553,0.00019033750970017435,0.013804562132417418,0.17130519563752866,301,72,229,0.314410480349345,0
37,0.35689760495555856,0.014275904198222342,0.33333607613737504,0.013333443045495002,0.33333607613737504,0.013333443045495002,0.0,0.023561528818193622,0.33333607613737504,0.013333443045495002,0.06229544906985307,0.03873392025165945,0.00010468627095043094,0.01178408623542822,0.031758388916871994,395,370,25,14.8,0
38,10.073862835201933,0.01479275012511297,10.07149116659768,0.014789267498675008,10.07149116659768,0.014789267498675008,0.0,0.002371668604334687,10.07149116659768,0.014789267498675008,0.015809444045604693,0.013437775441270006,0.0001255866863670094,0.014769535082461567,0.0387783821131249,788,107,681,0.15712187958883994,0
39,0.8010336166924343,0.014304171726650614,0.7978629051451657,0.014247551877592244,0.7978629051451657,0.014247551877592244,0.0,0.0031707115472672243,0.7978629051451657,0.014247551877592244,0.060630577218840465,0.05745986567157324,4.6867753402588285e-05,0.013221482847742747,0.17224318826976948,1282,1226,56,21.892857142857142,0
40,44.77388378538876,0.020728649900642944,44.769046899483065,0.02072641060161253,44.769046899483065,0.02072641060161253,0.0,0.004836885905783461,44.769046899483065,0.02072641060161253,0.017257251620069525,0.012420365714286064,0.001552545714285758,0.02072066043230032,0.04565263516088347,2168,8,2160,0.003703703703703704,0
41,52.48248817243016,0.021291070252507163,52.474612428861555,0.021287875224690285,52.474612428861555,0.021287875224690285,0.0,0.00787574356869225,52.474612428861555,0.021287875224690285,0.020363121397263484,0.012487377828571233,0.0002601537047619007,0.021282809351331804,0.009381508051377274,2513,48,2465,0.01947261663286004,0
42,2.8080889348248768,0.014110999672486817,2.8022038260113216,0.014081426261363425,2.8022038260113216,0.014081426261363425,0.0,0.005885108813544093,2.8022038260113216,0.014081426261363425,0.02228724687068695,0.016402138057142857,8.454710338733431e-05,0.01399900345705623,0.05172779406943295,393,194,199,0.9748743718592965,0
43,0.27171006995134306,0.014300529997439108,0.2674065952023086,0.014074031326437295,0.2674065952023086,0.014074031326437295,0.0,0.004303474749034919,0.2674065952023086,0.014074031326437295,0.017360384463320777,0.013056909714285858,0.0005440379047619107,0.013386825552001172,0.06832573143593645,43,24,19,1.263157894736842,0
44,1.3253396799511012,0.014564172307154958,1.3246103999795753,0.014556158241533794,1.3246103999795753,0.014556158241533794,0.0,0.0007292799715230558,1.3246103999795753,0.014556158241533794,0.014876653228665937,0.014147373257142881,0.00013346578544474417,0.014400692601345444,0.01663110449179772,197,106,91,1.164835164835165,0
45,1.3034697445965095,0.014812156188596699,1.2893884536176703,0.014652141518382617,1.2893884536176703,0.014652141518382617,0.0,0.01408129097883748,1.2893884536176703,0.014652141518382617,0.026331131131218655,0.012249840152381175,0.002449968030476235,0.014512938789378305,0.012376909859257879,93,5,88,0.056818181818181816,0
47,20.218193862448736,0.016834466163570972,20.216069949222998,0.016832697709594502,20.216069949222998,0.016832697709594502,0.0,0.002123913225740459,20.216069949222998,0.016832697709594502,0.06414324778042957,0.06201933455468911,4.66310786125482e-05,0.016781057963920324,0.08643348289595476,2531,1330,1201,1.1074104912572855,0
48,1.2691701448539785,0.015109168391118791,1.2574720914566284,0.014969905850674148,1.2574720914566284,0.014969905850674148,0.0,0.011698053397343422,1.2574720914566284,0.014969905850674148,0.049262771210907275,0.03756471781356385,4.6148301982265175e-05,0.014522706829084181,0.06583139315994391,898,814,84,9.69047619047619,0
49,1.078133243733447,0.014768948544293795,1.0746848384996306,0.014721710116433296,1.0746848384996306,0.014721710116433296,0.0,0.003448405233809737,1.0746848384996306,0.014721710116433296,0.01778530626238073,0.014336901028570992,0.00010168014913880137,0.014525314211932415,0.06028248328105157,214,141,73,1.9315068493150684,0
50,0.42592874754269516,0.019360397615577053,0.4233711547593735,0.01924414339815334,0.4233711547593735,0.01924414339815334,0.0,0.002557592783322349,0.4233711547593735,0.01924414339815334,0.13662873524565988,0.13407114246233753,4.626333418300122e-05,0.013150000558956149,0.09246455005048837,2920,2898,22,131.72727272727272,0
51,32.10598590993325,0.01934095536742967,32.039867841226965,0.019301125205558413,32.039867841226965,0.019301125205558413,0.0,0.06611806870642667,32.039867841226965,0.019301125205558413,0.11120010543289993,0.04508203672647326,0.0001065769189751141,0.019273967352108647,0.04701970329074889,2083,423,1660,0.2548192771084337,0
52,0.41663997831246213,0.006943999638541035,0.4154306112507925,0.006923843520846542,0.4154306112507925,0.006923843520846542,0.0,0.0012093670616959429,0.4154306112507925,0.006923843520846542,0.010389052445823665,0.009179685384127723,5.884413707774181e-05,0.006770848764443975,0.062115864227997974,216,156,60,2.6,0
